Date,VFINX,vix,vfx,vbx,spx,usdx,tnx,nasdaq,dji,oil,apple,msft,google,amazon,spyVol
2008-12-31,65.93218231201172,40.0,65.93218231201172,7.3591694831848145,1452.97998046875,,,,8776.3896484375,,2.6295437812805176,14.793869972229004,153.97897338867188,51.279998779296875,193987200.0
2009-01-02,68.04288482666016,39.189998626708984,68.04288482666016,7.323026657104492,1499.1700439453125,81.83999633789062,2.4159998893737793,1253.0,9034.6904296875,46.34000015258789,2.795912027359009,15.471160888671875,160.82081604003906,54.36000061035156,227566300.0
2009-01-05,67.7254867553711,39.08000183105469,67.7254867553711,7.323026657104492,1492.2099609375,82.63999938964844,2.48799991607666,1265.0,8952.8896484375,48.810001373291016,2.9139108657836914,15.61575698852539,164.18919372558594,54.060001373291016,240349700.0
2009-01-06,68.25714111328125,38.560001373291016,68.25714111328125,7.351945877075195,1503.8699951171875,82.8499984741211,2.505000114440918,1271.0,9015.099609375,48.58000183105469,2.865849018096924,15.798391342163086,167.19720458984375,57.36000061035156,328260900.0
2009-01-07,66.24163818359375,43.38999938964844,66.24163818359375,7.3591694831848145,1459.5799560546875,82.27999877929688,2.49399995803833,1239.5,8769.7001953125,42.630001068115234,2.803922414779663,14.847140312194824,161.16616821289062,56.20000076293945,280899200.0
2009-01-08,66.4717788696289,42.560001373291016,66.4717788696289,7.373628616333008,1464.5999755859375,81.54000091552734,2.444999933242798,1249.5,8742.4599609375,41.70000076293945,2.8559892177581787,15.311347961425781,162.75775146484375,57.15999984741211,263834400.0
2009-01-09,65.05140686035156,42.81999969482422,65.05140686035156,7.388089179992676,1433.4100341796875,82.66000366210938,2.4070000648498535,1221.5,8599.1796875,40.83000183105469,2.790674924850464,14.854745864868164,157.69268798828125,55.5099983215332,330953600.0
2009-01-12,63.59134292602539,45.84000015258789,63.59134292602539,7.402553081512451,1401.0699462890625,83.0199966430664,2.309000015258789,1206.0,8473.9697265625,37.59000015258789,2.7315220832824707,14.816696166992188,156.50149536132812,51.91999816894531,277858500.0
2009-01-13,63.70243453979492,43.27000045776367,63.70243453979492,7.402553081512451,1403.6300048828125,84.2699966430664,2.296999931335449,1204.0,8448.5595703125,37.779998779296875,2.702253818511963,15.083047866821289,157.31732177734375,51.45000076293945,356432300.0
2009-01-14,61.57585144042969,49.13999938964844,61.57585144042969,7.4170050621032715,1356.7900390625,84.41999816894531,2.2130000591278076,1165.5,8200.1396484375,37.279998779296875,2.62892746925354,14.52751636505127,150.63563537597656,48.4900016784668,435491600.0
2009-01-15,61.66312026977539,51.0,61.66312026977539,7.409778594970703,1358.6400146484375,84.44000244140625,2.2009999752044678,1177.25,8212.490234375,35.400001525878906,2.568850517272949,14.6416654586792,149.64463806152344,51.439998626708984,532647300.0
2009-01-16,62.13129806518555,46.11000061035156,62.13129806518555,7.395320892333984,1368.9200439453125,84.20999908447266,2.303999900817871,1197.0,8281.2197265625,36.5099983215332,2.536501169204712,14.99933910369873,149.9849853515625,51.59000015258789,399237200.0
2009-01-20,58.854156494140625,56.650001525878906,58.854156494140625,7.366403579711914,1296.6300048828125,86.22000122070312,2.3450000286102295,1147.5,7949.08984375,38.7400016784668,2.409259796142578,14.06330394744873,141.51651000976562,48.439998626708984,419855200.0
2009-01-21,61.417137145996094,46.41999816894531,61.417137145996094,7.323026657104492,1353.3299560546875,85.81999969482422,2.5260000228881836,1181.5,8228.099609375,43.54999923706055,2.5519049167633057,14.748207092285156,151.6916961669922,50.540000915527344,364360700.0
2009-01-22,60.48876953125,47.290000915527344,60.48876953125,7.315800189971924,1332.8399658203125,85.5199966430664,2.5940001010894775,1172.25,8122.7998046875,43.66999816894531,2.722278594970703,13.020737648010254,153.4033966064453,49.939998626708984,427940300.0
2009-01-23,60.8140869140625,47.27000045776367,60.8140869140625,7.308572769165039,1340.02001953125,85.61000061035156,2.621999979019165,1164.25,8077.56005859375,46.470001220703125,2.722278594970703,13.089221000671387,162.51251220703125,50.630001068115234,386800600.0
2009-01-26,61.1473503112793,45.689998626708984,61.1473503112793,7.308572769165039,1347.469970703125,84.7300033569336,2.6429998874664307,1179.5,8116.02978515625,45.72999954223633,2.7617151737213135,13.416452407836914,162.0970916748047,49.630001068115234,317978800.0
2009-01-27,61.82184982299805,42.25,61.82184982299805,7.337487697601318,1362.1800537109375,84.43000030517578,2.5190000534057617,1185.75,8174.72998046875,41.58000183105469,2.795295476913452,13.439282417297363,165.90589904785156,48.439998626708984,273789700.0
2009-01-28,63.90083312988281,39.65999984741211,63.90083312988281,7.308572769165039,1408.0699462890625,84.66999816894531,2.6559998989105225,1231.25,8375.4501953125,42.15999984741211,2.9022037982940674,13.72846794128418,174.50950622558594,50.36000061035156,330007000.0
2009-01-29,61.790103912353516,42.630001068115234,61.790103912353516,7.279655456542969,1361.5400390625,85.27999877929688,2.815000057220459,1206.0,8149.009765625,41.439998626708984,2.8652334213256836,13.386015892028809,171.8318328857422,50.0,294392500.0
2009-01-30,60.385589599609375,44.84000015258789,60.385589599609375,7.307960033416748,1330.510009765625,86.0,2.8440001010894775,1179.25,8000.85986328125,41.68000030517578,2.77681040763855,13.013127326965332,169.43443298339844,58.81999969482422,383383600.0
2009-02-02,60.345909118652344,45.52000045776367,60.345909118652344,7.3369879722595215,1329.81005859375,86.06999969482422,2.7190001010894775,1188.75,7936.75,40.08000183105469,2.8193273544311523,13.568655967712402,170.45545959472656,61.150001525878906,288233300.0
