RMSE,RSE,Rsquare
2.94595345482403,0.17926752238369,0.820732477616311
2.32566818170063,0.405952382566988,0.594047617433012
1.73266831439751,0.911210869935741,0.0887891300642589
1.68998686179779,0.094037213786712,0.905962786213288
3.39949406791322,0.792452203553295,0.207547796446705
2.49424430034963,0.45827557910364,0.54172442089636
1.39177901651987,0.106163749484934,0.893836250515066
1.99652859729864,0.0544810544846686,0.945518945515331
4.56064440616588,0.597198230951047,0.402801769048953
2.02038253358718,0.129671600172751,0.870328399827249
2.47755621364779,0.161515555530973,0.838484444469027
8.03656479863879,0.647719772068548,0.352280227931452
9.16171231547343,0.770362172098496,0.229637827901504
9.31709967189693,2.29269600088587,-1.29269600088587
3.61461566058008,0.59497382202814,0.40502617797186
3.01588822616334,0.0742815626024066,0.925718437397593
10.948334794801,0.134694513743979,0.865305486256021
8.80670996317253,0.265246649409086,0.734753350590914
4.16031715742993,0.180382895205303,0.819617104794697
9.25776396862782,0.556025677884665,0.443974322115335
